id;nombre;precio;descripcion
1;Gibraltar iniciativa;11450;Credit Pequeño
2;withdrawal deposit horas;63333;infomediaries
3;Global Reducido Bedfordshire;63115;Buckinghamshire bandwidth
4;Rojo value-added;45302;Borders Tugrik
5;Negro Extramuros Navarra;17448;Comunidad quantifying auxiliary
6;networks;96656;Seguro Checking Account
7;calculating mindshare Malasia;12800;web
8;inversa Card Hormigon;82159;precios RSS iniciativa
9;Música Contabilidad Baleares;94021;middleware hardware
10;Asimilado Global;47970;Plástico Guapo users
